,File Name,Date,Minimum,Maximum,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,District,Year,Month,Day,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
49,MOD15A2H_006_Lai_500m_doy2006001_aid0005,2006-01-01,0.1,2.0,0.4128488,0.1560453,0.024350099999999996,0.5,0.8,0.4,0.1,0.3,RAJSAMAND,2006,1,1,16323,45077,2.7615634380934884
50,MOD15A2H_006_Lai_500m_doy2007001_aid0005,2007-01-01,0.1,2.3,0.5038154,0.20142960000000001,0.0405739,0.6,1.0,0.5,0.1,0.3,RAJSAMAND,2007,1,1,36704,116996,3.1875544899738446
51,MOD15A2H_006_Lai_500m_doy2008001_aid0005,2008-01-01,0.0,1.5,0.3813356,0.1357116,0.0184176,0.5,0.8,0.3,0.0,0.3,RAJSAMAND,2008,1,1,34420,107093,3.1113596746077863
52,MOD15A2H_006_Lai_500m_doy2009001_aid0005,2009-01-01,0.1,1.2,0.32458940000000003,0.1144993,0.0131101,0.3,0.3,0.3,0.3,0.3,RAJSAMAND,2009,1,1,12069,26966,2.2343193305161986
53,MOD15A2H_006_Lai_500m_doy2010001_aid0005,2010-01-01,0.1,1.9,0.33604029999999996,0.1315852,0.017314700000000002,0.4,0.5,0.3,0.2,0.3,RAJSAMAND,2010,1,1,6461,16811,2.6019192075530104
54,MOD15A2H_006_Lai_500m_doy2010001_aid0005,2010-01-01,0.1,1.9,0.33604029999999996,0.1315852,0.017314700000000002,0.4,0.5,0.3,0.2,0.3,RAJSAMAND,2010,1,1,6461,16811,2.6019192075530104
55,MOD15A2H_006_Lai_500m_doy2001001_aid0006,2001-01-01,0.1,2.5,0.5514614000000001,0.295478,0.0873073,0.7,1.3,0.5,0.1,0.3,SAWAI MADHOPUR,2001,1,1,66197,111612,1.6860582805867337
56,MOD15A2H_006_Lai_500m_doy2002001_aid0006,2002-01-01,0.1,5.1,0.6610919,0.3956676,0.1565529,0.8,1.5,0.5,0.1,0.3,SAWAI MADHOPUR,2002,1,1,62102,116887,1.8821777076422657
57,MOD15A2H_006_Lai_500m_doy2003001_aid0006,2003-01-01,0.1,3.1,0.3787501,0.2605346,0.0678783,0.5,0.9,0.3,0.1,0.2,SAWAI MADHOPUR,2003,1,1,54227,82843,1.5277075995352867
58,MOD15A2H_006_Lai_500m_doy2004001_aid0006,2004-01-01,0.1,3.7,0.6773537,0.3703907,0.1371893,0.9,1.6,0.6,0.1,0.4,SAWAI MADHOPUR,2004,1,1,60948,130252,2.1371004790969352
59,MOD15A2H_006_Lai_500m_doy2005001_aid0006,2005-01-01,0.1,6.6,0.9362187,0.5400019,0.291602,1.3,2.5,0.9,0.1,0.5,SAWAI MADHOPUR,2005,1,1,44021,78218,1.7768337838758774
60,MOD15A2H_006_Lai_500m_doy2006001_aid0006,2006-01-01,0.1,3.6,0.8869663000000001,0.5352222,0.28646279999999996,1.2,2.2,0.7,0.1,0.5,SAWAI MADHOPUR,2006,1,1,44491,90111,2.0253759187251354
61,MOD15A2H_006_Lai_500m_doy2007001_aid0006,2007-01-01,0.1,4.9,0.7790643,0.5346398,0.2858397,1.0,1.9,0.6,0.1,0.4,SAWAI MADHOPUR,2007,1,1,42351,118521,2.798540766451796
62,MOD15A2H_006_Lai_500m_doy2008001_aid0006,2008-01-01,0.1,2.9,0.5952094,0.404934,0.16397160000000002,0.7,1.3,0.5,0.1,0.3,SAWAI MADHOPUR,2008,1,1,45688,118179,2.586652950446507
63,MOD15A2H_006_Lai_500m_doy2009001_aid0006,2009-01-01,0.1,6.7,0.8668657,0.49393240000000005,0.2439692,1.1,2.0,0.7,0.1,0.5,SAWAI MADHOPUR,2009,1,1,53450,164400,3.0757717492984096
64,MOD15A2H_006_Lai_500m_doy2010001_aid0006,2010-01-01,0.1,6.6,1.0408117000000001,0.6240443,0.3894312,1.4,2.6,1.0,0.1,0.6,SAWAI MADHOPUR,2010,1,1,61185,213165,3.4839421426820296
65,MOD15A2H_006_Lai_500m_doy2010001_aid0006,2010-01-01,0.1,6.6,1.0408117000000001,0.6240443,0.3894312,1.4,2.6,1.0,0.1,0.6,SAWAI MADHOPUR,2010,1,1,61185,213165,3.4839421426820296
66,MOD15A2H_006_Lai_500m_doy2001001_aid0007,2001-01-01,0.1,2.1,0.343996,0.1795655,0.032243799999999996,0.5,0.9,0.3,0.1,0.2,SIKAR,2001,1,1,86767,171194,1.9730312215473624
67,MOD15A2H_006_Lai_500m_doy2002001_aid0007,2002-01-01,0.1,1.5,0.3554823,0.1650875,0.027253899999999998,0.5,0.9,0.3,0.1,0.2,SIKAR,2002,1,1,82086,269379,3.2816680067246544
68,MOD15A2H_006_Lai_500m_doy2003001_aid0007,2003-01-01,0.1,1.9,0.2748119,0.1527903,0.023344900000000002,0.3,0.4,0.3,0.1,0.2,SIKAR,2003,1,1,84627,247138,2.92032093776218
69,MOD15A2H_006_Lai_500m_doy2004001_aid0007,2004-01-01,0.1,1.8,0.3631527,0.1978751,0.0391545,0.5,0.9,0.3,0.1,0.2,SIKAR,2004,1,1,86844,229255,2.6398484639123025
70,MOD15A2H_006_Lai_500m_doy2005001_aid0007,2005-01-01,0.1,2.1,0.41231809999999997,0.23019009999999998,0.0529875,0.5,0.9,0.3,0.1,0.2,SIKAR,2005,1,1,86650,266724,3.0781765724177728
71,MOD15A2H_006_Lai_500m_doy2006001_aid0007,2006-01-01,0.1,2.4,0.3822297,0.1915046,0.036674,0.5,0.9,0.3,0.1,0.2,SIKAR,2006,1,1,84607,215361,2.545427683288617
72,MOD15A2H_006_Lai_500m_doy2007001_aid0007,2007-01-01,0.1,2.1,0.41673530000000003,0.247369,0.0611914,0.6,1.2,0.3,0.1,0.2,SIKAR,2007,1,1,84349,267674,3.1734104731532087
73,MOD15A2H_006_Lai_500m_doy2008001_aid0007,2008-01-01,0.1,1.1,0.309054,0.145676,0.0212215,0.4,0.7,0.3,0.1,0.2,SIKAR,2008,1,1,85200,170924,2.006150234741784
74,MOD15A2H_006_Lai_500m_doy2009001_aid0007,2009-01-01,0.1,1.7,0.42888050000000005,0.2267254,0.051404399999999996,0.6,1.2,0.3,0.1,0.2,SIKAR,2009,1,1,85657,250455,2.92392915932148
75,MOD15A2H_006_Lai_500m_doy2010001_aid0007,2010-01-01,0.1,1.8,0.3911821,0.2601325,0.06766889999999999,0.6,1.2,0.3,0.1,0.2,SIKAR,2010,1,1,90628,301181,3.3232665401421198
76,MOD15A2H_006_Lai_500m_doy2010001_aid0007,2010-01-01,0.1,1.8,0.3911821,0.2601325,0.06766889999999999,0.6,1.2,0.3,0.1,0.2,SIKAR,2010,1,1,90628,301181,3.3232665401421198
77,MOD15A2H_006_Lai_500m_doy2001001_aid0008,2001-01-01,0.1,1.9,0.3719357,0.1796441,0.032272,0.5,0.8,0.3,0.1,0.3,SIROHI,2001,1,1,15218,25630,1.684189775266132
78,MOD15A2H_006_Lai_500m_doy2002001_aid0008,2002-01-01,0.1,2.0,0.396077,0.1984495,0.03938219999999999,0.5,0.8,0.3,0.1,0.3,SIROHI,2002,1,1,22526,51029,2.265337831838764
79,MOD15A2H_006_Lai_500m_doy2003001_aid0008,2003-01-01,0.1,2.2,0.2925397,0.1289967,0.016640099999999998,0.3,0.4,0.3,0.1,0.2,SIROHI,2003,1,1,10087,24429,2.421830078318628
80,MOD15A2H_006_Lai_500m_doy2004001_aid0008,2004-01-01,0.1,1.9,0.4877724,0.2092067,0.043767400000000005,0.6,1.0,0.5,0.1,0.3,SIROHI,2004,1,1,26658,70468,2.643409107960087
81,MOD15A2H_006_Lai_500m_doy2005001_aid0008,2005-01-01,0.1,1.8,0.4038652,0.1921371,0.0369167,0.5,0.8,0.3,0.1,0.3,SIROHI,2005,1,1,16300,30254,1.8560736196319016
82,MOD15A2H_006_Lai_500m_doy2006001_aid0008,2006-01-01,0.1,2.2,0.5103812,0.23703110000000002,0.056183699999999996,0.6,1.0,0.5,0.1,0.3,SIROHI,2006,1,1,27201,64336,2.365207161501415
83,MOD15A2H_006_Lai_500m_doy2007001_aid0008,2007-01-01,0.1,3.9,0.6508678000000001,0.3078504,0.0947718,0.8,1.4,0.6,0.1,0.4,SIROHI,2007,1,1,46191,109237,2.3648979238379773
84,MOD15A2H_006_Lai_500m_doy2008001_aid0008,2008-01-01,0.1,2.0,0.49857219999999997,0.225152,0.0506934,0.6,1.0,0.5,0.1,0.3,SIROHI,2008,1,1,39349,92695,2.3557142494091337
85,MOD15A2H_006_Lai_500m_doy2009001_aid0008,2009-01-01,0.1,2.2,0.464592,0.2336416,0.0545884,0.6,1.0,0.4,0.1,0.3,SIROHI,2009,1,1,24790,52778,2.129003630496168
86,MOD15A2H_006_Lai_500m_doy2010001_aid0008,2010-01-01,0.1,5.0,0.39778040000000003,0.19735160000000002,0.0389476,0.5,0.8,0.3,0.1,0.3,SIROHI,2010,1,1,18016,44115,2.4486567495559504
87,MOD15A2H_006_Lai_500m_doy2010001_aid0008,2010-01-01,0.1,5.0,0.39778040000000003,0.19735160000000002,0.0389476,0.5,0.8,0.3,0.1,0.3,SIROHI,2010,1,1,18016,44115,2.4486567495559504
88,MOD15A2H_006_Lai_500m_doy2001001_aid0009,2001-01-01,0.1,2.2,0.48971750000000003,0.2735427,0.0748256,0.6,1.0,0.4,0.1,0.3,TONK,2001,1,1,70478,108495,1.539416555520872
89,MOD15A2H_006_Lai_500m_doy2002001_aid0009,2002-01-01,0.1,3.6,0.48286840000000003,0.31685019999999997,0.1003941,0.6,1.0,0.4,0.1,0.3,TONK,2002,1,1,60297,123635,2.0504336865847392
90,MOD15A2H_006_Lai_500m_doy2003001_aid0009,2003-01-01,0.1,2.7,0.2769208,0.1733877,0.030063299999999998,0.3,0.4,0.2,0.1,0.2,TONK,2003,1,1,39825,80975,2.033270558694288
91,MOD15A2H_006_Lai_500m_doy2004001_aid0009,2004-01-01,0.1,2.8,0.472905,0.26635240000000004,0.07094360000000001,0.5,0.8,0.4,0.1,0.3,TONK,2004,1,1,47241,124621,2.637983954615694
92,MOD15A2H_006_Lai_500m_doy2005001_aid0009,2005-01-01,0.0,3.2,0.796833,0.4604008,0.2119689,1.0,1.7,0.7,0.0,0.5,TONK,2005,1,1,60615,169243,2.792097665594325
93,MOD15A2H_006_Lai_500m_doy2006001_aid0009,2006-01-01,0.0,3.5,0.7410215,0.43591369999999996,0.19002070000000001,1.0,1.7,0.7,0.0,0.5,TONK,2006,1,1,54647,138646,2.5371200614855343
94,MOD15A2H_006_Lai_500m_doy2007001_aid0009,2007-01-01,0.0,3.5,0.6375970000000001,0.5131114999999999,0.26328340000000006,0.8,1.5,0.5,0.0,0.3,TONK,2007,1,1,63430,163346,2.5752167743969734
95,MOD15A2H_006_Lai_500m_doy2008001_aid0009,2008-01-01,0.0,7.0,0.5681955,0.4019585,0.1615706,0.7,1.3,0.5,0.0,0.3,TONK,2008,1,1,69961,175020,2.5016795071539857
96,MOD15A2H_006_Lai_500m_doy2009001_aid0009,2009-01-01,0.1,2.8,0.692103,0.358417,0.12846269999999999,0.9,1.5,0.6,0.1,0.5,TONK,2009,1,1,40643,105913,2.605934601284354
97,MOD15A2H_006_Lai_500m_doy2010001_aid0009,2010-01-01,0.1,3.6,0.6706131999999999,0.4339964,0.1883529,0.9,1.8,0.6,0.1,0.3,TONK,2010,1,1,39926,106733,2.6732705505184597
98,MOD15A2H_006_Lai_500m_doy2010001_aid0009,2010-01-01,0.1,3.6,0.6706131999999999,0.4339964,0.1883529,0.9,1.8,0.6,0.1,0.3,TONK,2010,1,1,39926,106733,2.6732705505184597
99,MOD15A2H_006_Lai_500m_doy2001001_aid0010,2001-01-01,0.1,1.6,0.4243274,0.1840933,0.0338904,0.5,0.8,0.4,0.1,0.3,UDAIPUR,2001,1,1,17488,38009,2.1734332113449217
